f0(capture histogram: move <= 60, captured)	f0(capture histogram: move <= 60, lost)	f0(capture histogram: move <= 60, difference)	f0(capture histogram: 60 < move <= 240, captured)	f0(capture histogram: 60 < move <= 240, lost)	f0(capture histogram: 60 < move <= 240, difference)	f0(capture histogram: move > 240, captured)	f0(capture histogram: move > 240, lost)	f0(capture histogram: move > 240, difference)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
									class	meta	meta	meta
0.454545454545	0.636363636364	-0.181818181818	6.81818181818	5.81818181818	1.0	3.54545454545	3.45454545455	0.0909090909091	-5.0	kgs_wide 10 <= X <= 100, player michigan24 (6d)	11.0	strength: 6d
0.8	0.666666666667	0.133333333333	5.13333333333	3.0	2.13333333333	0.333333333333	1.33333333333	-1.0	-5.0	kgs_wide 10 <= X <= 100, player life (6d)	15.0	strength: 6d
0.366666666667	0.866666666667	-0.5	4.3	5.06666666667	-0.766666666667	1.8	1.4	0.4	-5.0	kgs_wide 10 <= X <= 100, player hirubon (6d), subsampled to max 50	30.0	strength: 6d
0.478260869565	0.652173913043	-0.173913043478	5.73913043478	3.86956521739	1.86956521739	1.86956521739	1.65217391304	0.217391304348	-5.0	kgs_wide 10 <= X <= 100, player howzulee (6d), subsampled to max 50	23.0	strength: 6d
0.181818181818	0.363636363636	-0.181818181818	4.81818181818	5.72727272727	-0.909090909091	0.636363636364	0.909090909091	-0.272727272727	-5.0	kgs_wide 10 <= X <= 100, player angryfist (6d)	11.0	strength: 6d
0.265306122449	0.367346938776	-0.102040816327	6.26530612245	5.32653061224	0.938775510204	1.34693877551	1.79591836735	-0.448979591837	-5.0	kgs_wide 10 <= X <= 100, player satoke (6d), subsampled to max 50	49.0	strength: 6d
0.529411764706	0.176470588235	0.352941176471	8.17647058824	7.29411764706	0.882352941176	6.11764705882	4.52941176471	1.58823529412	-5.0	kgs_wide 10 <= X <= 100, player michi2009 (6d), subsampled to max 50	17.0	strength: 6d
0.166666666667	1.0	-0.833333333333	3.5	4.41666666667	-0.916666666667	1.66666666667	1.08333333333	0.583333333333	-5.0	kgs_wide 10 <= X <= 100, player miao (6d)	12.0	strength: 6d
0.538461538462	0.5	0.0384615384615	6.84615384615	6.42307692308	0.423076923077	2.34615384615	2.53846153846	-0.192307692308	-5.0	kgs_wide 10 <= X <= 100, player supertjc (6d), subsampled to max 50	26.0	strength: 6d
0.4	0.44	-0.04	5.68	6.0	-0.32	1.4	1.4	0.0	-5.0	kgs_wide 10 <= X <= 100, player Hezi (6d)	25.0	strength: 6d
