f0(bdist histogram: move <= 10, bdist <= 2)	f0(bdist histogram: move <= 10, bdist == 3)	f0(bdist histogram: move <= 10, bdist == 4)	f0(bdist histogram: move <= 10, bdist > 4)	f0(bdist histogram: 10 < move <= 64, bdist <= 2)	f0(bdist histogram: 10 < move <= 64, bdist == 3)	f0(bdist histogram: 10 < move <= 64, bdist == 4)	f0(bdist histogram: 10 < move <= 64, bdist > 4)	f0(bdist histogram: 64 < move <= 200, bdist <= 2)	f0(bdist histogram: 64 < move <= 200, bdist == 3)	f0(bdist histogram: 64 < move <= 200, bdist == 4)	f0(bdist histogram: 64 < move <= 200, bdist > 4)	f0(bdist histogram: move > 200, bdist <= 2)	f0(bdist histogram: move > 200, bdist == 3)	f0(bdist histogram: move > 200, bdist == 4)	f0(bdist histogram: move > 200, bdist > 4)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
																class	meta	meta	meta
0.0	2.3	2.65	0.05	4.35	6.6	5.9	10.15	14.45	7.95	7.15	24.3	4.2	0.9	1.2	3.1	-5.0	kgs_wide 10 <= X <= 100, player hikarunoko (6d)	20.0	strength: 6d
0.0625	2.375	2.5	0.0625	5.125	7.5625	5.375	8.375	9.375	6.4375	6.125	19.8125	6.4375	1.5625	0.9375	3.9375	-5.0	kgs_wide 10 <= X <= 100, player ApplePie (6d)	16.0	strength: 6d
0.111111111111	2.96296296296	1.66666666667	0.259259259259	4.55555555556	7.77777777778	4.88888888889	9.77777777778	16.9259259259	7.74074074074	7.92592592593	27.2962962963	10.2592592593	1.74074074074	2.74074074074	5.44444444444	-5.0	kgs_wide 10 <= X <= 100, player NYDY (6d)	27.0	strength: 6d
0.0666666666667	2.93333333333	2.0	0.0	7.2	6.8	5.53333333333	7.46666666667	13.4	7.8	8.13333333333	23.2666666667	6.13333333333	1.46666666667	1.66666666667	4.8	-5.0	kgs_wide 10 <= X <= 100, player ikami (6d)	15.0	strength: 6d
0.130434782609	2.39130434783	2.26086956522	0.217391304348	6.65217391304	7.4347826087	4.86956521739	7.4347826087	9.78260869565	8.69565217391	6.21739130435	21.1739130435	2.82608695652	0.565217391304	0.695652173913	2.34782608696	-5.0	kgs_wide 10 <= X <= 100, player lorikeet (6d), subsampled to max 50	23.0	strength: 6d
0.136363636364	2.63636363636	1.95454545455	0.272727272727	5.45454545455	7.22727272727	5.45454545455	8.86363636364	16.2272727273	9.77272727273	8.72727272727	26.1818181818	10.4545454545	2.63636363636	3.31818181818	9.0	-5.0	kgs_wide 10 <= X <= 100, player ben0 (6d)	22.0	strength: 6d
0.241379310345	1.86206896552	2.68965517241	0.206896551724	6.10344827586	7.10344827586	4.96551724138	8.8275862069	14.1034482759	8.72413793103	8.58620689655	25.4827586207	9.55172413793	1.65517241379	1.86206896552	6.48275862069	-5.0	kgs_wide 10 <= X <= 100, player take1970 (6d)	29.0	strength: 6d
0.222222222222	2.61111111111	2.11111111111	0.0555555555556	5.16666666667	8.16666666667	5.83333333333	7.83333333333	10.7777777778	8.22222222222	6.0	22.5555555556	5.44444444444	0.777777777778	0.888888888889	3.05555555556	-5.0	kgs_wide 10 <= X <= 100, player kthj86 (6d)	18.0	strength: 6d
0.307692307692	2.76923076923	1.76923076923	0.153846153846	4.0	5.69230769231	5.07692307692	11.6923076923	9.38461538462	6.76923076923	5.46153846154	19.2307692308	3.30769230769	0.615384615385	0.846153846154	2.84615384615	-5.0	kgs_wide 10 <= X <= 100, player PASSAT (6d)	13.0	strength: 6d
0.181818181818	1.90909090909	2.36363636364	0.545454545455	6.63636363636	7.0	5.45454545455	7.90909090909	11.1818181818	8.54545454545	7.36363636364	27.9090909091	8.63636363636	2.63636363636	1.54545454545	5.27272727273	-5.0	kgs_wide 10 <= X <= 100, player michigan24 (6d)	11.0	strength: 6d
